소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
0.2112,8,75.0,2.502938152,0.1408,0.12,1,29,10.15653936,저위험군,25.80159582,-2.0634123947234797,4.375647829482444
0.122,25,48.0,0.693147181,0.1108,0.25,1,22,10.15069913,저위험군,19.01522831,-1.8534256002295357,3.5096603444971652
0.1482,0,0.0,2.978187964,0.1536,0.12,2,6,6.907755279,저위험군,28.7644162,-2.152807403929509,0.461069454692477
0.1001,9,66.7,1.850779648,0.1694,0.08,0,17,8.795127912,저위험군,17.83843873,-1.106532380258818,3.0754869515695082
0.1086,1,100.0,1.541065966,0.4676,0.7,1,3,5.123963979,고위험군,41.77523918,0.716211731381738,-0.31743582623505934
0.1108,1,100.0,1.491437462,0.4676,0.12,1,3,5.634789603,저위험군,33.749347,-0.010542298911357816,-0.23418657868894965
0.4182,29,65.5,0.693147181,0.1108,0.85,0,22,7.994969523,중위험군,24.63283303,-0.11651826738711284,3.348128882750669
0.2452,23,60.9,0.205049808,0.1094,0.85,1,15,8.70417056,중위험군,27.35952845,-0.7065162376503535,2.4127942915771823
0.1506,5,60.0,0.017241806,0.1179,0.85,2,4,6.186208624,중위험군,31.17777099,-0.9293747626826542,0.005473756441920151
0.067,21,76.2,0.598656337,0.1966,0.08,1,9,8.482808765,저위험군,23.05564515,-0.8915106447949734,1.7425167348724206
0.2002,8,50.0,1.03653986,0.1922,0.35,1,10,8.360773272,저위험군,27.68771304,-1.3346657752897788,1.5639194096726614
0.113,0,0.0,1.098612289,0.1322,0.85,2,9,9.251770182,중위험군,33.22216427,-2.293560536631406,1.1946673927336409
0.0551,15,26.7,1.288125769,0.1136,0.7,1,24,8.910315776,중위험군,24.77247229,-1.7251153741385488,3.2453324657895317
0.1001,33,75.8,0.05165001,0.1136,1.0,1,14,8.127109185,중위험군,28.39292284,0.12047332541987248,2.380874803562207
0.192,15,53.3,0.090971778,0.1694,0.45,2,7,7.746300662,저위험군,30.87499209,-1.4231310439277411,0.6687165191239142
0.1894,6,0.0,0.117783036,0.1136,0.08,1,19,9.207837242,저위험군,13.5787579,-3.1999186032262847,2.2476457483149908
0.2423,9,33.3,2.712598248,0.115,0.85,1,18,7.030857476,중위험군,31.89403129,-0.8238877818141929,2.35453736302266
0.2894,0,0.0,0.0,0.1165,0.85,2,5,7.138073034,중위험군,30.41615646,-2.122874620505947,-0.09203426269006265
0.3044,15,33.3,4.298984642,0.1565,0.7,1,13,8.371473537,중위험군,38.22066044,-0.3504107055680652,2.616276756571242
