승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
2012,0.1506,5,60.0,0.017241806,0.1179,0.85,4,6.186208624,중위험군,31.17777099,-1.0979290912043314,-0.32401577998690406
1957,0.067,21,76.2,0.598656337,0.1966,0.08,9,8.482808765,저위험군,23.05564515,-0.5267690429535252,0.5433280406440212
1960,0.2002,8,50.0,1.03653986,0.1922,0.35,10,8.360773272,저위험군,27.68771304,-0.8779345072717513,0.8109126790883455
2002,0.113,0,0.0,1.098612289,0.1322,0.85,9,9.251770182,중위험군,33.22216427,-2.2705233853812077,0.32953764310954153
2015,0.0551,15,26.7,1.288125769,0.1136,0.7,24,8.910315776,중위험군,24.77247229,-3.320253174871806,-1.0997960181048858
2015,0.1001,33,75.8,0.05165001,0.1136,1.0,14,8.127109185,중위험군,28.39292284,-1.6559276573008865,-2.158714834583674
1976,0.192,15,53.3,0.090971778,0.1694,0.45,7,7.746300662,저위험군,30.87499209,-0.8295104806917604,0.43607584187728393
2015,0.1894,6,0.0,0.117783036,0.1136,0.08,19,9.207837242,저위험군,13.5787579,-3.9610369006006776,0.7142386795517571
2014,0.2423,9,33.3,2.712598248,0.115,0.85,18,7.030857476,중위험군,31.89403129,-2.248931229776664,-1.2298977742483665
2013,0.2894,0,0.0,0.0,0.1165,0.85,5,7.138073034,중위험군,30.41615646,-1.9523803345628656,0.5767246343956116
1985,0.3044,15,33.3,4.298984642,0.1565,0.7,13,8.371473537,중위험군,38.22066044,-1.1992858746886372,-0.9797570024321791
1968,0.098,23,60.9,0.874484001,0.1808,0.85,17,8.826881344,중위험군,33.18618211,-1.0309744314948117,-0.7993396511005434
