구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,bw_intercept,coef_구조노후도,bw_구조노후도,coef_도로폭위험도,bw_도로폭위험도,coef_단속위험도,bw_단속위험도
종로구,익선동,엠제이호텔,0,중위험군,37.57227399,126.9880699,198946.0906,452525.7156,30.95267857,1.4625778809872152,27.21448845603359,43.0,1.354646778312537,1463.0,2.8180726772639364,1464.0,2.3648276641203796,55.0
종로구,익선동,킹스가든,0,중위험군,37.57179889,126.9889326,199022.3007,452472.9757,29.68497731,1.6776232501745625,26.903111401170268,43.0,1.3541385981448493,1463.0,2.817739167189714,1464.0,2.2974728512780316,55.0
종로구,관철동,수레지던스,0,중위험군,37.56655068,126.9841539,198600.0443,451890.546,25.97377645,1.492493432286544,29.782373559242906,43.0,1.3564965736251784,1463.0,2.8195144168423645,1464.0,2.9161400968893645,55.0
종로구,창신동,동대문 서울달빛,0,중위험군,37.56916257,127.0137488,201214.6206,452180.4061,34.54718315,-0.37147169802797464,27.695697530003233,43.0,1.3546418554941244,1463.0,2.8329668485331556,1464.0,2.209684989689595,55.0
종로구,연건동,브루클린,0,중위험군,37.57244418,127.0008332,200073.6066,452544.5381,36.98701582,5.776766611596944,30.280843215947947,43.0,1.3538034530053908,1463.0,2.8220959936309757,1464.0,0.11825862691700181,55.0
종로구,숭인동,케이디 호스텔,0,중위험군,37.57044997,127.0186755,201649.8402,452323.3676,33.38826274,7.913449710757906,29.848045885683664,43.0,1.3547590489684314,1463.0,2.835293817321855,1464.0,1.6756793757539086,55.0
종로구,장사동,센추럴,0,중위험군,37.56604937,126.9921087,199302.819,451834.8177,38.31717841,3.567697098588873,29.97724325952761,43.0,1.3541524854937348,1463.0,2.819575735836741,1464.0,1.1633531940632171,55.0
종로구,창신동,VATICA HOTEL(바티카 호텔),0,중위험군,37.56737832,127.0147475,201302.8834,451982.3886,25.16109034,-2.4160948143485683,27.42153320011485,43.0,1.3547949042109388,1463.0,2.8346077672280248,1464.0,2.0008494082499713,55.0
종로구,권농동,언플러그 안국,0,중위험군,37.57427525,126.9904528,199156.6242,452747.8082,34.38596742,2.7003575364200536,27.132484487083197,43.0,1.3533745457782946,1463.0,2.8166291529435363,1464.0,2.377145154799601,55.0
종로구,낙원동,베스트웨스턴 종로(인사동),0,중위험군,37.5696394,126.9887561,199006.6737,452233.2992,24.1597545,-5.083479669302246,27.79560812908572,43.0,1.3541241274750722,1463.0,2.8181950160256495,1464.0,2.083726701599555,55.0
종로구,숭인동,아이비씨호텔,0,중위험군,37.57050676,127.022065,201949.2705,452329.7355,39.68270504,7.583802153363649,30.330883165657692,43.0,1.3548912569204237,1463.0,2.8372624829232724,1464.0,1.4096211729045591,55.0
종로구,익선동,ICON,0,중위험군,37.57209924,126.9881293,198951.3391,452506.3197,24.01764966,-5.25487196816567,27.205371769207453,43.0,1.3546073929988065,1463.0,2.8180720967585513,1464.0,2.3547999752959536,55.0
종로구,익선동,호텔 다다-인사,0,중위험군,37.57189895,126.9887524,199006.3786,452484.0831,28.99010129,2.4677834450676706,26.98131832094534,43.0,1.3542482614213651,1463.0,2.817807103996538,1464.0,2.3124115713530067,55.0
종로구,낙원동,종로크라운,0,중위험군,37.57131629,126.9874005,198886.9441,452419.4297,27.58183873,4.124891652360688,27.775407525187113,43.0,1.354971667442423,1463.0,2.8184600738221275,1464.0,2.3480153519790505,55.0
종로구,평창동,동화킴스관광호텔,0,중위험군,37.60669991,126.9743304,197733.3915,456346.8474,38.32306966,2.0160634163383335,34.77501682628326,43.0,1.3565348370379717,1463.0,2.818352618198951,1464.0,1.7136469051588343,55.0
종로구,당주동,포시즌스 호텔 서울,0,중위험군,37.56801651,126.9746335,197758.993,452053.4204,31.72027245,9.00586753988997,31.81058428702208,43.0,1.3595150410657793,1463.0,2.824242644251907,1464.0,2.2178452720129544,55.0
종로구,와룡동,Hostel Tommy 호스텔 토미,0,중위험군,37.5716747,126.990417,199153.4252,452459.1776,32.68575111,-2.733816249461597,26.480289077102476,43.0,1.353436043354045,1463.0,2.8170892777972565,1464.0,2.207371717058734,55.0
종로구,운니동,노블관광호텔,0,중위험군,37.57393452,126.9888707,199016.8561,452710.0065,33.81378816,0.3901720535306836,27.157099354505192,43.0,1.3542764352958947,1463.0,2.8174213231703193,1464.0,2.4028175285769304,55.0
종로구,와룡동,바운드 호스텔,0,중위험군,37.57338396,126.9895252,199074.671,452648.8941,29.84933743,-6.053481801577426,27.06904395586407,43.0,1.3538767710689443,1463.0,2.8172001416496624,1464.0,2.3423418069379407,55.0
종로구,익선동,호텔 이비스앰배서더 인사동,0,중위험군,37.57168791,126.9884302,198977.9106,452460.6635,30.06805753,2.3035036365403165,27.132011443816076,43.0,1.354422083398432,1463.0,2.8179950151282243,1464.0,2.317594684254243,55.0
