구,동,숙소명,승인연도,위험도점수,위험점수_AHP,사각지대_위험도점수,fire_count_150m,target_damage_sum_천원,예상_화재발생확률,기대피해액_백만원,주변건물수,집중도,도로폭위험도,단속위험도,구조노후도
마포구,서교동,홍대게스트하우스 마마스앤파파스,1992,42.5326848449038,46.83,42.5326848449038,5,1884.0,0.5779810798062007,0.0749862503041755,35,94.3,1.0,0.5782010262387616,0.1465
마포구,서교동,벨 하우스,1991,42.52729117677087,47.02,42.52729117677087,5,2043.0,0.4615012211514377,0.0645279766445325,24,95.8,0.85,0.1627714228711653,0.148
마포구,중동,"안녕,서울",1989,42.52671671453589,23.45,42.52671671453589,2,452.0,,,1,100.0,0.12,0.1603426500751793,0.4218
마포구,도화동,헤이븐 스테이,1993,42.50166666666666,47.02,42.50166666666666,2,2915.0,0.2972779592438109,0.0498973626462857,1,100.0,0.45,0.0,0.1451
마포구,합정동,오손도손 스테이,1992,42.47599426131294,25.75,42.47599426131294,5,5650.0,0.3918778974979667,0.0724009542016499,12,90.6,0.12,0.8574502318512216,0.4165
마포구,동교동,진스파라다이스,1996,42.44854781377516,56.59,42.44854781377516,23,78914.0,0.4186449329090294,0.0578453343460957,23,100.0,0.45,1.0930412436186543,0.4095
마포구,연남동,두부,2019,42.43738702599482,72.29,42.43738702599482,4,3087.0,0.0881383785764133,0.0144751798064296,29,96.6,1.0,0.1931912290308585,0.1079
마포구,서교동,스테이 시오,2007,42.42010786466845,41.86,42.42010786466845,5,1922.0,0.4756761590147097,0.0673671029888299,24,95.8,0.85,0.2838870014832293,0.1251
마포구,연남동,까사드 연남,1992,42.34131960723484,85.85,42.34131960723484,17,14311.0,0.1859023818425032,0.0228346742183722,57,96.5,1.0,1.7679817385520165,0.4165
마포구,망원동,코지스테이 망원점,1993,42.33193990989204,66.72,42.33193990989204,0,0.0,0.2757668871919247,0.0568090287922905,3,100.0,0.18,0.0070175726586465,0.4148
마포구,망원동,아우픈,1990,42.256743387760245,68.91,42.256743387760245,11,50792.0,0.2411389617589675,0.0349192931350177,32,100.0,1.0,0.5331106685554257,0.1494
마포구,노고산동,파크 스테이,1992,42.24396588352723,39.0,42.24396588352723,5,10155.0,0.3427752458666994,0.0619460099569844,3,100.0,0.12,0.3528213746227424,0.4165
마포구,상수동,이유 스테이,1989,42.21963963963963,38.51,42.21963963963963,0,0.0,0.1833954363809168,0.032379772773434,18,100.0,0.18,0.0,0.6928
마포구,연남동,헬로월드 게스트하우스,1971,42.21471462278587,77.65,42.21471462278587,6,1660.0,0.2861809695204546,0.0459709482685636,15,93.3,0.25,0.2711527705005703,0.4535
마포구,합정동,CHOI & HAUS,1978,42.14704892991739,39.24,42.14704892991739,3,12500.0,0.2772613708880567,0.0528734721783198,12,90.6,0.18,0.1335313926245226,0.4412
마포구,합정동,스티치스 게스트하우스,1972,42.14542497032938,36.72,42.14542497032938,3,12423.0,0.3230972132769248,0.0601827964081339,12,90.6,0.12,0.4519851237430572,0.4518
마포구,동교동,블루밍,2001,42.134107509570434,59.35,42.134107509570434,25,58850.0,0.496107357052095,0.0825913777265707,18,88.9,0.45,1.283245985220444,0.1337
마포구,망원동,MANGWON ATELIER,1998,42.113129213690165,62.09,42.113129213690165,10,50691.0,0.2778607975723577,0.0399553945362207,34,97.1,1.0,0.5696258815305231,0.138
마포구,신수동,페타,1996,42.06120578835666,43.97,42.06120578835666,3,501.0,0.3644523494980011,0.0527285583800696,11,100.0,0.25,0.5762828404206345,0.4095
마포구,서교동,차차스테이,1991,42.051844719608376,42.23,42.051844719608376,9,4666.0,0.3510433287641177,0.0489645556154289,15,100.0,0.35,0.4020924236295251,0.4183
