TOT_OA_CD,전체건물수
11050530020013,61
11050530020014,38
11050530020015,64
11050530020016,56
11050530020017,61
11050530020018,92
11050530020019,53
11050530020020,15
11050530020021,53
11050530020022,43
11050530020023,61
11050530020024,62
11050530020025,42
11050530020026,76
11050530020027,32
11050530020028,66
11050530020029,36
11050530020030,34
11050530020031,51
11050530020032,43
11050530020033,50
11050530020034,26
11050530020035,52
11050530020036,22
11050530020037,37
11050530020038,70
11050530020039,54
11050530020040,40
11050530020041,19
11050530020201,7
11050530020701,7
11050530021001,2
11050540010001,53
11050540010002,78
11050540010003,50
11050540010004,36
11050540010005,54
11050540010006,39
11050540010007,55
11050540010008,40
11050540010009,60
11050540010010,81
11050540010011,52
11050540010012,64
11050540010013,39
11050540010014,27
11050540010015,57
11050540010016,31
11050540010017,47
11050540010018,52
11050540010019,55
11050540010020,61
11050540010021,62
11050540010022,70
11050540010023,41
11050540010024,86
11050540010025,39
11050540010026,35
11050540010027,55
11050540010028,59
11050540010029,29
11050540010030,43
11050540010031,52
11050540010032,43
11050540010033,50
11050540010034,29
11050540010035,16
11050540010036,36
11050540010037,35
11050540010038,57
11050540010039,51
11050540010040,49
11050540010041,57
11050540010042,41
11050540010043,68
11050540010044,21
11050540010101,3
11050540010301,3
11050540010302,4
11050550010001,62
11050550010002,66
11050550010003,49
11050550010004,65
11050550010005,39
11050550010006,51
11050550010007,35
11050550010008,68
11050550010009,95
11050550010010,51
11050550010011,54
11050550010012,44
11050550010013,58
11050550010014,80
11050550010015,81
11050550010016,45
11050550010017,65
11050550010018,48
11050550010019,54
11050550010020,93
11050550010021,45
11050550010022,42
11050550010023,72
11050550010024,55
11050550010025,16
11050550010026,52
11050550010027,55
11050550010028,45
11050550010029,37
11050550010030,46
11050550010201,4
11050560010001,50
11050560010002,57
11050560010003,57
11050560010004,53
11050560010005,62
11050560010006,57
11050560010007,42
11050560010008,62
11050560010009,51
11050560010010,45
11050560010011,43
11050560010012,44
11050560010013,85
11050560010014,62
11050560010015,25
11050560010016,71
11050560010017,48
11050560010018,56
11050560010019,26
11050560010020,43
11050560010021,33
11050560010022,41
11050560010023,69
11050560010024,50
11050560010025,48
11050560010026,32
11050560010027,35
11050560010028,59
11050560010029,22
11050560010030,34
11050560010031,47
11050560010032,57
11050560010033,36
11050560010034,72
11050560010035,52
11050560010036,33
11050560010037,48
11050560010038,39
11050560010039,70
11050570010001,63
11050570010002,82
11050570010003,75
11050570010004,80
11050570010005,65
11050570010006,68
11050570010007,52
11050570010008,47
11050570010009,66
11050570010010,72
11050570010011,66
11050570010012,57
11050570010013,39
11050570010014,61
11050570010015,62
11050570010016,69
11050570010017,68
11050570010018,82
11050570010019,109
11050570010020,57
11050570010021,38
11050570010022,48
11050570010023,48
11050570010024,69
11050570010025,54
11050570010026,60
11050570010027,44
11050570010028,74
11050570010029,51
11050570010201,8
11050580010001,68
11050580010002,86
11050580010003,30
11050580010004,46
11050580010005,61
11050580010006,84
11050580010007,47
11050580010008,64
11050580010009,39
