iter	Passed	Remaining
1323	86970	31267
1324	87027	31198
1325	87083	31129
1326	87133	31058
1327	87190	30989
1328	87355	30958
1329	87424	30894
1330	87484	30826
1331	87536	30756
1332	87587	30685
1333	87636	30613
1334	87709	30550
1335	87789	30489
1336	87841	30419
1337	87892	30348
1338	87949	30279
1339	87999	30208
1340	88059	30141
1341	88110	30070
1342	88169	30002
1343	88260	29945
1344	88354	29889
1345	88415	29822
1346	88488	29758
1347	88560	29695
1348	88627	29630
1349	88681	29560
1350	88733	29490
1351	88803	29425
1352	88874	29362
1353	88924	29291
1354	88975	29220
1355	89032	29152
1356	89082	29081
1357	89134	29011
1358	89198	28945
1359	89250	28875
1360	89301	28804
1361	89351	28734
1362	89401	28663
1363	89456	28594
1364	89544	28536
1365	89601	28467
1366	89651	28397
1367	89701	28326
1368	89754	28257
1369	89805	28187
1370	89863	28119
1371	89970	28066
1372	90033	28000
1373	90085	27930
1374	90135	27860
1375	90186	27790
1376	90235	27719
1377	90294	27651
1378	90345	27581
1379	90395	27511
1380	90454	27444
1381	90569	27393
1382	90622	27324
1383	90678	27256
1384	90729	27186
1385	90778	27115
1386	90828	27045
1387	90884	26977
1388	90935	26907
1389	91026	26849
1390	91082	26781
1391	91132	26711
1392	91194	26644
1393	91243	26574
1394	91299	26506
1395	91350	26436
1396	91401	26367
1397	91616	26344
1398	91705	26285
1399	91786	26224
1400	91895	26171
1401	92001	26117
1402	92080	26055
1403	92140	25988
1404	92292	25946
1405	92376	25886
1406	92434	25818
1407	92489	25750
1408	92544	25681
1409	92616	25617
1410	92674	25549
1411	92749	25486
1412	92861	25433
1413	92933	25369
1414	92989	25301
1415	93047	25233
1416	93100	25164
1417	93171	25099
1418	93262	25040
1419	93380	24989
1420	93453	24925
1421	93514	24858
1422	93624	24804
1423	93688	24737
1424	93740	24668
1425	93794	24599
1426	93854	24532
1427	93912	24464
1428	93966	24395
1429	94019	24326
1430	94069	24257
1431	94132	24190
1432	94183	24121
1433	94234	24051
1434	94348	23997
1435	94430	23936
1436	94530	23879
1437	94594	23812
1438	94667	23749
1439	94728	23682
1440	94786	23614
1441	94838	23545
1442	94941	23488
1443	95007	23422
1444	95061	23354
1445	95114	23285
1446	95176	23218
1447	95247	23154
1448	95358	23099
1449	95417	23031
1450	95492	22968
1451	95562	22903
1452	95616	22834
1453	95737	22782
1454	95831	22722
1455	95943	22668
1456	96022	22605
1457	96086	22538
1458	96140	22470
1459	96258	22416
1460	96308	22346
1461	96423	22292
1462	96480	22224
1463	96539	22156
1464	96592	22087
1465	96643	22018
1466	96701	21950
1467	96763	21883
1468	96821	21816
1469	96872	21746
1470	96923	21677
1471	96989	21611
1472	97041	21542
1473	97093	21473
1474	97151	21406
1475	97267	21351
1476	97323	21283
1477	97480	21237
1478	97540	21170
1479	97596	21101
1480	97646	21032
1481	97696	20963
1482	97767	20898
1483	97829	20831
1484	97889	20764
1485	97939	20695
1486	97989	20625
1487	98048	20558
1488	98098	20489
1489	98151	20420
1490	98219	20355
1491	98291	20290
1492	98342	20221
1493	98392	20152
1494	98447	20084
1495	98506	20017
1496	98626	19962
1497	98696	19897
1498	98767	19832
1499	98821	19764
1500	98882	19697
1501	98931	19628
1502	98991	19561
1503	99041	19492
1504	99094	19423
1505	99145	19355
1506	99207	19288
1507	99289	19225
1508	99351	19159
1509	99400	19090
1510	99453	19021
1511	99508	18954
1512	99634	18899
1513	99691	18832
1514	99741	18763
1515	99792	18694
1516	99852	18627
1517	99908	18560
1518	99959	18491
1519	100011	18423
1520	100073	18356
1521	100128	18288
1522	100189	18222
1523	100244	18154
1524	100308	18088
1525	100377	18023
1526	100455	17959
1527	100510	17891
1528	100568	17824
1529	100624	17757
1530	100688	17691
1531	100752	17625
1532	100828	17561
1533	100923	17500
1534	100986	17434
1535	101037	17365
1536	101094	17298
1537	101146	17230
1538	101210	17164
1539	101261	17096
1540	101311	17027
1541	101410	16967
1542	101481	16902
1543	101541	16835
1544	101591	16767
1545	101641	16699
1546	101690	16630
1547	101744	16563
1548	101869	16506
1549	101943	16442
1550	102013	16377
1551	102070	16310
1552	102124	16242
1553	102179	16175
1554	102236	16107
1555	102286	16039
1556	102335	15971
1557	102385	15903
1558	102501	15845
1559	102561	15778
1560	102611	15710
1561	102670	15643
1562	102723	15576
1563	102774	15508
1564	102831	15441
1565	102900	15375
1566	102975	15311
1567	103032	15244
1568	103090	15177
1569	103140	15109
1570	103191	15041
1571	103249	14975
1572	103307	14908
1573	103360	14840
1574	103452	14778
1575	103520	14713
1576	103569	14645
1577	103620	14577
1578	103670	14509
1579	103722	14442
1580	103819	14381
1581	103889	14315
1582	103941	14248
1583	103993	14180
1584	104048	14113
1585	104098	14046
1586	104149	13978
1587	104198	13910
1588	104254	13843
1589	104303	13775
1590	104353	13708
1591	104444	13646
1592	104508	13580
1593	104569	13513
1594	104626	13447
1595	104677	13379
1596	104736	13313
1597	104790	13246
1598	104921	13188
1599	104984	13123
1600	105034	13055
1601	105085	12988
1602	105140	12921
1603	105210	12856
1604	105265	12789
1605	105327	12723
1606	105384	12656
1607	105443	12590
1608	105494	12522
1609	105598	12461
1610	105660	12395
1611	105710	12328
1612	105763	12261
1613	105813	12194
1614	105869	12127
1615	105918	12060
1616	106006	11997
1617	106082	11932
1618	106146	11866
1619	106196	11799
1620	106247	11732
1621	106304	11665
1622	106354	11598
1623	106403	11531
1624	106453	11464
1625	106513	11398
1626	106608	11335
1627	106665	11269
1628	106714	11202
1629	106767	11135
1630	106820	11068
