구,위도,경도,위험점수_AHP,소방위험도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
중구,37.54780376,127.00218665,44.63,0.3935,0,0.0,2.9363088530831902,18.0,0.1723,50.0
중구,37.56342608,126.995507,23.85,0.1266,32,75.0,0.6931471805599453,15.0,0.1251,44.44
중구,37.56143879,126.98227454,33.76,0.1632,9,44.4,1.2017965249033404,15.0,0.1708,0.0
중구,37.55986298,126.96908924,58.21,0.5392,5,0.0,0.1282106588186425,10.0,0.1265,20.0
중구,37.56253058,127.00194604,34.77,0.3564,10,60.0,0.2145598076228183,3.0,0.115,28.57
중구,37.56137967,127.00793569,35.56,0.3196,14,85.7,0.3417492937220566,5.0,0.115,36.84
중구,37.56288054,126.97864626,47.89,0.2894,19,47.4,3.1939813570440467,5.0,0.1766,22.22
중구,37.55792308,126.98548871,40.04,0.1022,27,85.2,0.7357067949787413,7.0,0.1909,0.0
중구,37.56523844,126.97737331,49.12,0.4244,0,0.0,0.7449722484245314,39.0,0.1794,14.29
중구,37.56168836,126.97931189,40.97,0.228,7,28.6,2.389841537991274,9.0,0.178,28.89
중구,37.56206173,126.99491248,32.92,0.0938,45,53.3,1.0968233794253852,39.0,0.1623,41.18
중구,37.56177049,127.00707987,32.53,0.3257,17,76.5,1.0672617587840336,4.0,0.1094,65.22
중구,37.56440216,126.99952076,50.86,0.2804,46,71.7,0.4370134658430903,20.0,0.1509,0.0
중구,37.55589221,126.98425667,16.49,0.129,0,0.0,2.5709513761465352,34.0,0.1536,50.0
중구,37.56182034,126.98235783,16.63,0.1787,6,50.0,2.7126691469585045,9.0,0.1022,50.0
중구,37.56201257,126.98374891,28.54,0.184,14,50.0,0.4126853560816514,6.0,0.1365,61.11
중구,37.56041505,126.98504625,30.39,0.1313,18,72.2,1.8272215026672964,9.0,0.1523,0.0
중구,37.55602148,126.98400789,21.98,0.122,0,0.0,2.5113651113274305,34.0,0.4535,0.0
용산구,37.5309905,126.99287096,36.85,0.2002,4,0.0,0.009389740349839,13.0,0.1408,0.0
용산구,37.51842522,126.95939349,44.5,0.5567,0,0.0,0.017241806434506,40.0,0.1222,0.0
용산구,37.53117208,126.99046509,47.06,0.2597,6,0.0,3.2086348857548064,38.0,0.4535,33.33
용산구,37.53120965,126.9912185,29.8,0.2365,21,38.1,3.4850065721311685,13.0,0.1194,6.0
용산구,37.5517128,126.96658186,63.54,0.2774,100,53.0,0.2122469600899965,5.0,0.1608,21.43
용산구,37.52489689,126.96363419,47.87,0.4886,14,21.4,1.556604497612753,40.0,0.232,3.7
용산구,37.55142339,126.96553086,63.63,0.2337,108,65.7,0.6757554378480761,5.0,0.4324,0.0
용산구,37.52931063,126.99379816,36.73,0.2597,5,40.0,0.046091107200267,5.0,0.413,7.14
용산구,37.53213283,126.99278762,25.33,0.1632,28,46.4,1.7727112742573603,13.0,0.1179,6.67
용산구,37.5367936,126.99702538,30.29,0.1337,15,73.3,1.000848119902218,6.0,0.5574,0.0
용산구,37.52917031,126.9616552,22.34,0.3257,0,0.0,0.0,14.0,0.1108,3.45
용산구,37.53258975,126.99761001,47.3,0.122,87,74.7,1.2959351403605768,3.0,0.1523,0.0
용산구,37.52621325,126.99250665,47.84,0.2834,7,0.0,0.0,38.0,0.1523,75.0
용산구,37.54811198,126.97199695,29.9,0.2308,12,83.3,0.6371529112053704,40.0,0.1136,14.29
용산구,37.5312925,126.99084352,28.42,0.2452,14,21.4,3.259184480105219,38.0,0.1122,60.0
용산구,37.55008607,126.97146748,43.51,0.2539,15,60.0,0.0823249452560027,40.0,0.1623,33.33
용산구,37.5428,126.97079796,43.89,0.4213,12,33.3,2.8058593409741737,30.0,0.1122,0.0
용산구,37.52917031,126.9616552,22.34,0.3257,0,0.0,0.0,14.0,0.1108,8.51
용산구,37.5315035,126.99550844,27.35,0.1457,47,59.6,2.418269491993508,4.0,0.1165,23.33
성동구,37.55719846,127.03528869,39.34,0.2167,30,83.3,0.462134464596392,30.0,0.1451,16.67
성동구,37.54745731,127.05231704,38.18,0.2423,12,33.3,3.054001181677967,8.0,0.4148,47.06
성동구,37.5369324,127.06154244,17.03,0.067,17,70.6,0.1823215567939546,20.0,0.1408,10.0
성동구,37.55948579,127.03411372,33.32,0.1433,10,10.0,0.3325326386171326,4.0,0.1494,5.71
성동구,37.56086358,127.03451002,20.18,0.0898,35,48.6,2.180780219109842,5.0,0.1237,0.0
