구,위도,경도,위험점수_AHP,소방접근성_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
용산구,37.5315035,126.99550844,32.61,0.839,47,51.1,2.418269491993508,4.0,0.1165,23.33
성동구,37.55719846,127.03528869,35.54,0.752,30,60.0,0.462134464596392,30.0,0.1451,16.67
성동구,37.54745731,127.05231704,44.5,0.7255,12,66.7,3.054001181677967,8.0,0.4148,47.06
성동구,37.5369324,127.06154244,18.11,0.957,17,47.1,0.1823215567939546,20.0,0.1408,10.0
성동구,37.55948579,127.03411372,37.34,0.8445,10,90.0,0.3325326386171326,4.0,0.1494,5.71
성동구,37.56086358,127.03451002,26.17,0.92,35,51.4,2.180780219109842,5.0,0.1237,0.0
성동구,37.55868812,127.06005271,44.83,0.585,0,0.0,0.0,8.0,0.2959,0.0
성동구,37.55988082,127.03402623,16.09,0.8625,8,87.5,0.3058643915349713,40.0,0.1165,0.0
성동구,37.55865215,127.05985981,45.37,0.5775,0,0.0,0.0,8.0,0.1594,20.69
성동구,37.5602666,127.03120088,35.34,0.7845,29,65.5,1.6094379124341005,3.0,0.1194,45.83
마포구,37.55351459,126.91602446,23.54,0.8215,24,50.0,1.2585183800659887,7.0,0.1022,65.52
마포구,37.54951825,126.9176306,34.95,0.896,29,65.5,0.88343356671638,4.0,0.1509,78.57
마포구,37.55360436,126.92114016,34.69,0.6925,14,78.6,1.04243378671451,6.0,0.1022,0.0
마포구,37.55176055,126.93463668,40.51,0.8545,11,81.8,0.9162907318741552,7.0,0.1665,41.67
