119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
현장대응단,서울특별시 양천구 신정동,11000000043132,서울특별시,,신정동,20290502,숙박시설,Y,20051110,양천소방서,호텔아도(아도스테이앤스튜디오),19820715,Y,N,,447291.41,,20240502,,187132.49,,양천구,,NH농헙손해보험,작동점검대상
미아119안전센터,서울특별시 강북구 미아동,11000000047210,서울특별시,N,미아동,,숙박시설,Y,20000821,강북소방서,첼로모텔,19880701,N,,N,459238.57,,,,202145.59,,강북구,,,
미아119안전센터,서울특별시 강북구 미아동,11000000026410,서울특별시,,미아동,,숙박시설,Y,20040428,강북소방서,하트(하얏트)모텔,19711015,Y,N,,459354.65,,,,202139.15,,강북구,,,작동점검대상
화곡119안전센터,,11000000149415,서울특별시,,화곡동,20180831,숙박시설,Y,20120312,강서소방서,해담채스테이,20120309,Y,N,,447848.45,,20160901,,185911.29,20120217,강서구,,동부엑설런트종합보험,종합점검대상
화곡119안전센터,,11000000090725,서울특별시,,화곡동,,숙박시설,Y,20040518,강서소방서,호텔앤,19970613,Y,N,,447858.98,,,,185961.92,,강서구,,,작동점검대상
화곡119안전센터,,11000000125984,서울특별시,,화곡동,,숙박시설,Y,20061222,강서소방서,여우잠,20060822,Y,N,,447763.13,,,,186497.58,20060809,강서구,르네상스,,작동점검대상
화곡119안전센터,,11000000089134,서울특별시,,화곡동,20180814,숙박시설,Y,20040504,강서소방서,앨리스넥스트도어호텔,19961216,Y,N,,447741.1,,20150814,,185920.2,,강서구,,한화화재보험,작동점검대상
화곡119안전센터,,11000000126489,서울특별시,,화곡동,20180502,숙박시설,Y,20070802,강서소방서,모텔플라워,20061026,Y,N,,449665.29,,20160501,,186385.61,20061002,강서구,플라워 모텔,현대해상,작동점검대상
화곡119안전센터,,11000000094713,서울특별시,,화곡동,,숙박시설,Y,20011203,강서소방서,소설스미스,19980814,Y,N,,449755.05,,,,186460.64,,강서구,,,작동점검대상
신당119안전센터,서울특별시 중구 필동2가,11000000007356,서울특별시,,필동2가,,숙박시설,Y,19990224,중부소방서,투미유스텔(구.대한장여관),19680605,Y,,,451251.55,,,,199564.54,,중구,대한장여관,,작동점검대상
을지로119안전센터,서울특별시 중구 을지로5가,11000000262988,서울특별시,,을지로5가,20190624,숙박시설,Y,20160525,중부소방서,트레블로지동대문호텔(구.이비스앰배서더호텔),20160526,Y,N,,451875.24,,20180624,N,200167.98,20160513,중구,,현대해상화재보험,종합및작동점검대상
을지로119안전센터,서울특별시 중구 을지로5가,11000000036993,서울특별시,,을지로5가,20220830,숙박시설,Y,20020702,중부소방서,에이큐브호텔(석광빌딩),19850701,Y,,,451848.35,,20170830,,200148.13,20150813,중구,석광빌딩,삼성화재,작동점검대상
종로119안전센터,서울특별시 종로구 낙원동,11000000123990,서울특별시,,낙원동,,숙박시설,Y,20070109,종로소방서,심플스테이(구.호텔 투헤븐),20051118,Y,N,,452521.82,,,,199082.9,,종로구,,,작동점검대상
신당119안전센터,서울특별시 중구 장충동2가,11000000002314,서울특별시,Y,장충동2가,20170716,숙박시설,Y,20061221,중부소방서,앰배서더 서울 풀만,19630406,Y,N,,451189.27,,20160716,,200226.87,,중구,그랜드앰배서더서울,삼성화재,종합및작동점검대상
충무로119안전센터,서울특별시 중구 충무로2가,11000000250596,서울특별시,,충무로2가,20200806,숙박시설,Y,20150406,중부소방서,크레토호텔(크레토명동),20150511,Y,,,451387.21,,20150806,N,198947.05,20150319,중구,,현대해상화재보험,작동점검대상
현장대응단,서울특별시 종로구 관훈동,11000000031291,서울특별시,,관훈동,,숙박시설,Y,20031217,종로소방서,준오호텔(구.사랑방모텔),19831118,Y,,,452830.22,,,,198602.78,,종로구,,,작동점검대상
회현119안전센터,서울특별시 중구 중림동,11000000327824,서울특별시,,중림동,,숙박시설,Y,20200824,중부소방서,랑호텔(청파로 431 건물),19700813,Y,N,,450948.49,,,N,197272.23,20200814,중구,,,종합및작동점검대상
현장대응단,서울특별시 영등포구 영등포동3가,11000000114694,서울특별시,,영등포동3가,,숙박시설,Y,20031215,영등포소방서,호텔야자(구.리츠호텔(몰리브),20031027,Y,,,446561.15,,,,192047.64,,영등포구,,,작동점검대상
현장대응단,서울특별시 영등포구 영등포동3가,11000000063166,서울특별시,,영등포동3가,,숙박시설,Y,20040525,영등포소방서,수모텔,19910223,Y,,,446501.63,,,,191996.91,,영등포구,,,작동점검대상
현장대응단,서울특별시 영등포구 영등포동3가,11000000131035,서울특별시,,영등포동3가,,숙박시설,Y,20081231,영등포소방서,아늑호텔영등포점(구.뉴신라호텔),20080408,Y,N,,446606.09,,,,191720.86,20170209,영등포구,영등포모텔,,종합점검대상
현장대응단,서울특별시 영등포구 영등포동3가,11000000152740,서울특별시,,영등포동3가,,숙박시설,Y,20130102,영등포소방서,호텔갤럭시투어,20130116,Y,,,446508.23,,,,191850.0,,영등포구,,,작동점검대상
마곡119안전센터,서울특별시 강서구 외발산동,11000000139647,서울특별시,,외발산동,20150820,숙박시설,Y,20091229,강서소방서,호텔디아망,20091204,Y,N,,449898.05,,20140821,,184027.91,20081104,강서구,호텔 디아망,LIG화재보험,종합및작동점검대상
을지로119안전센터,서울특별시 중구 충무로4가,11000000024566,서울특별시,,충무로4가,20210817,숙박시설,Y,20041224,중부소방서,CF모텔(충무로점),19801201,Y,,,451405.49,,20110817,,199438.49,19801201,중구,,KB화재,작동점검대상
충무로119안전센터,서울특별시 중구 남산동2가,11000000225986,서울특별시,,남산동2가,,숙박시설,Y,20140930,중부소방서,다두호스텔,19711130,Y,N,,451030.44,,,N,198652.18,,중구,,,작동점검대상
