구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
중구,(남산동,오요5 롯지A(OYO 5 Lodge A),1963,1,100.0,1.4914374618404542,0.4676,0.12,37.55634977,126.98417952
중구,쌍림동,호텔더디자이너스 디디피,2017,29,65.5,0.6931471805599453,0.1108,0.85,37.56105995,127.00331236
중구,북창동,호텔 토마스 명동,2018,23,60.9,0.2050498078715107,0.1094,0.85,37.56039746,126.97757525
중구,(남산동,호텔룩홈,2012,5,60.0,0.017241806434506,0.1179,0.85,37.55558838,126.9850216
중구,명동,사보이호텔,1957,21,76.2,0.5986563371390229,0.1966,0.08,37.55897352,126.98351716
중구,명동,메트로호텔,1960,8,50.0,1.036539860025732,0.1922,0.35,37.56237712,126.98294095
중구,예장동,오리엔스 호텔 앤 레지던스,2002,0,0.0,1.0986122886681098,0.1322,0.85,37.55730627,126.99049245
중구,,이비스 스타일 앰배서더 서울 명동,2015,15,26.7,1.2881257692367702,0.1136,0.7,37.55893191,126.98857126
중구,,홉인 서울 명동 (HOP INN SEOUL MYEONGDONG),2015,33,75.8,0.0516500095542754,0.1136,1.0,37.56058087,126.99202564
중구,,호텔 도마,1976,15,53.3,0.0909717782057266,0.1694,0.45,37.55857874,126.99502482
중구,,트레블로지 명동 을지로 호텔,2015,6,0.0,0.1177830356563834,0.1136,0.08,37.56386051,126.98858496
중구,오장동,모닝스카이호텔,2014,9,33.3,2.712598247600114,0.115,0.85,37.5613481,126.99911036
중구,예장동,하센영인호텔,2013,0,0.0,0.0,0.1165,0.85,37.55378191,126.99241512
중구,,호텔마누,1985,15,33.3,4.29898464197175,0.1565,0.7,37.55439108,126.97410212
중구,명동,나인트리 바이 파르나스 서울 명동Ⅰ,1968,23,60.9,0.8744840006913605,0.1808,0.85,37.55883796,126.98523766
중구,명동,더 그랜드호텔 명동,1978,34,76.5,0.7798304197287472,0.1665,0.7,37.55890463,126.986388
중구,,프레이저플레이스남대문,1979,7,57.1,1.125439530901254,0.1652,0.25,37.55862664,126.97564128
중구,북창동,클라벤 호텔 명동 시티홀,2013,23,65.2,0.5916107613405224,0.1165,0.85,37.56046238,126.97732197
중구,,세종호텔,1968,15,60.0,1.0557102671239005,0.1808,0.12,37.55871693,126.98716971
중구,(남산동,퍼시픽호텔,1974,25,72.0,1.0957095290101484,0.1723,0.7,37.556976,126.98465416
중구,,플라자호텔,1978,14,57.1,3.558351066749184,0.1665,0.7,37.56192055,126.97712593
중구,(장충동,호텔신라,1986,44,77.3,3.872802292274865,0.1551,1.0,37.55399997,127.0052469
중구,소공동,호텔롯데,1989,3,0.0,0.0218190473946397,0.1509,0.08,37.56206001,126.98030217
중구,명동,로얄호텔서울,1971,29,79.3,2.134937947129352,0.1766,0.35,37.5615652,126.984857
중구,북창동,서울호텔신신,2013,8,62.5,0.0405460943943499,0.1165,0.85,37.55958613,126.97790365
중구,(장충동,써미트호텔,1985,6,16.7,1.699539747131287,0.1565,0.18,37.5594974,127.00609868
중구,오장동,스카이파크호텔 동대문1호점,2014,29,75.9,0.7390842757469709,0.115,0.85,37.56144741,127.00129028
중구,,데이즈 호텔 명동,1992,15,33.3,0.6461586711240263,0.1465,0.08,37.55820209,126.98284338
중구,예관동,뉴 블랑 센트럴 명동,2014,37,78.4,0.7985076962177716,0.115,1.0,37.56140326,126.99787449
중구,,코리아나호텔,1971,2,0.0,0.041672696400568,0.1766,0.55,37.56555219,126.97585864
중구,(장충동,반얀트리 클럽 앤 스파 서울,1974,0,0.0,2.9363088530831902,0.1723,0.35,37.54780376,127.00218665
중구,,호텔 국도,2007,32,75.0,0.6931471805599453,0.1251,0.35,37.56342608,126.995507
중구,(명동,이비스 앰배서더 명동,1975,9,44.4,1.2017965249033404,0.1708,0.35,37.56143879,126.98227454
중구,순화동,디에스디엘(주) 프레이저 플레이스 센트럴 서울,2006,5,0.0,0.1282106588186425,0.1265,0.55,37.55986298,126.96908924
중구,오장동,베이튼호텔,2014,10,60.0,0.2145598076228183,0.115,1.0,37.56253058,127.00194604
중구,(광희동,맹그로브 동대문,2014,14,85.7,0.3417492937220566,0.115,1.0,37.56137967,127.00793569
중구,,프레지던트호텔,1971,19,47.4,3.1939813570440467,0.1766,1.0,37.56288054,126.97864626
중구,(남산동,서울프린스호텔,1961,27,85.2,0.7357067949787413,0.1909,0.85,37.55792308,126.98548871
중구,,뉴서울호텔,1969,0,0.0,0.7449722484245314,0.1794,0.08,37.56523844,126.97737331
중구,소공동,(주)조선호텔앤리조트,1970,7,28.6,2.389841537991274,0.178,0.7,37.56168836,126.97931189
중구,(인현동,호텔 PJ,1981,45,53.3,1.0968233794253852,0.1623,0.08,37.56206173,126.99491248
중구,(광희동,토요코인 서울 동대문 Ⅱ,2018,17,76.5,1.0672617587840336,0.1094,1.0,37.56177049,127.00707987
중구,주교동,포레스트 스테이 을지로,1989,46,71.7,0.4370134658430903,0.1509,0.25,37.56440216,126.99952076
중구,(남산동,JEJARI STAY,1987,0,0.0,2.5709513761465352,0.1536,0.12,37.55589221,126.98425667
중구,명동,호텔베르,2023,6,50.0,2.7126691469585045,0.1022,0.7,37.56182034,126.98235783
중구,명동,호스텔아라,1999,14,50.0,0.4126853560816514,0.1365,0.85,37.56201257,126.98374891
중구,명동,블루닷 포쉬텔,1988,18,72.2,1.8272215026672964,0.1523,0.7,37.56041505,126.98504625
중구,(남산동,다두하우스,1971,0,0.0,2.5113651113274305,0.4535,0.12,37.55602148,126.98400789
용산구,이태원동,호스텔 펠라즈(Hostel Fellaz),1996,4,0.0,0.009389740349839,0.1408,0.45,37.5309905,126.99287096
용산구,이촌동,스카이 스위트,2009,0,0.0,0.017241806434506,0.1222,0.04,37.51842522,126.95939349
용산구,이태원동,와이낫슬립(Why Not Sleep),1971,6,0.0,3.2086348857548064,0.4535,0.08,37.53117208,126.99046509
