구조노후도,단속위험도,도로폭위험도,집중도,주변건물수,승인연도,총층수,연면적,업종그룹,위도,경도,Y_평균재산피해액,Y_최근접거리m
0.4676,1.4914374618404542,0.12,100.0,1,1963,3,279.0,기존숙박군,37.55634977,126.98417952,348.6,79.4
0.1108,0.6931471805599453,0.85,65.5,29,2017,22,2965.0,기존숙박군,37.56105995,127.00331236,101932.0,15.2
0.1094,0.2050498078715107,0.85,60.9,23,2018,15,6027.0,기존숙박군,37.56039746,126.97757525,3788.4,14.8
0.1179,0.017241806434506,0.85,60.0,5,2012,4,485.0,기존숙박군,37.55558838,126.9850216,172.0,27.7
0.1966,0.5986563371390229,0.08,76.2,21,1957,9,4830.0,기존숙박군,37.55897352,126.98351716,8828.8,8.4
0.1922,1.036539860025732,0.35,50.0,8,1960,10,4275.0,기존숙박군,37.56237712,126.98294095,783.4,73.1
0.1322,1.0986122886681098,0.85,0.0,0,2002,9,10422.0,기존숙박군,37.55730627,126.99049245,581.6,162.5
0.1136,1.2881257692367702,0.7,26.7,15,2015,24,7407.0,기존숙박군,37.55893191,126.98857126,483.0,70.0
0.1136,0.0516500095542754,1.0,75.8,33,2015,14,3384.0,기존숙박군,37.56058087,126.99202564,264.4,58.3
0.1694,0.0909717782057266,0.45,53.3,15,1976,7,2312.0,기존숙박군,37.55857874,126.99502482,130.2,38.9
0.1136,0.1177830356563834,0.08,0.0,6,2015,19,9974.0,기존숙박군,37.56386051,126.98858496,594.8,56.1
0.115,2.712598247600114,0.85,33.3,9,2014,18,1130.0,기존숙박군,37.5613481,126.99911036,1014.6,61.3
0.1165,0.0,0.85,0.0,0,2013,5,1258.0,기존숙박군,37.55378191,126.99241512,2154.6,197.5
0.1565,4.29898464197175,0.7,33.3,15,1985,13,4321.0,기존숙박군,37.55439108,126.97410212,459.8,37.5
0.1808,0.8744840006913605,0.85,60.9,23,1968,17,6814.0,기존숙박군,37.55883796,126.98523766,106.6,10.6
0.1665,0.7798304197287472,0.7,76.5,34,1978,9,2215.0,기존숙박군,37.55890463,126.986388,449.4,48.4
0.1652,1.125439530901254,0.25,57.1,7,1979,19,17556.0,기존숙박군,37.55862664,126.97564128,10247.4,22.4
0.1165,0.5916107613405224,0.85,65.2,23,2013,14,5758.0,기존숙박군,37.56046238,126.97732197,3788.4,29.2
0.1808,1.0557102671239005,0.12,60.0,15,1968,17,22928.0,기존숙박군,37.55871693,126.98716971,440.2,72.1
0.1723,1.0957095290101484,0.7,72.0,25,1974,10,13520.0,기존숙박군,37.556976,126.98465416,339.8,29.7
0.1665,3.558351066749184,0.7,57.1,14,1978,25,37765.0,기존숙박군,37.56192055,126.97712593,952.4,8.1
0.1551,3.872802292274865,1.0,77.3,44,1986,3,82657.0,기존숙박군,37.55399997,127.0052469,14182.0,23.9
0.1509,0.0218190473946397,0.08,0.0,3,1989,42,192712.0,기존숙박군,37.56206001,126.98030217,189.2,66.6
0.1766,2.134937947129352,0.35,79.3,29,1971,23,20139.0,기존숙박군,37.5615652,126.984857,297.8,24.7
0.1165,0.0405460943943499,0.85,62.5,8,2013,10,3021.0,기존숙박군,37.55958613,126.97790365,18693.8,52.3
0.1565,1.699539747131287,0.18,16.7,6,1985,12,9026.0,기존숙박군,37.5594974,127.00609868,14790.8,35.0
0.115,0.7390842757469709,0.85,75.9,29,2014,21,8244.0,기존숙박군,37.56144741,127.00129028,4785.6,4.1
0.1465,0.6461586711240263,0.08,33.3,15,1992,13,2932.0,기존숙박군,37.55820209,126.98284338,1811.4,39.3
0.115,0.7985076962177716,1.0,78.4,37,2014,20,6077.0,기존숙박군,37.56140326,126.99787449,213.8,28.8
0.1766,0.041672696400568,0.55,0.0,2,1971,26,31896.0,기존숙박군,37.56555219,126.97585864,12142.8,99.1
0.1723,2.9363088530831902,0.35,0.0,0,1974,5,21393.0,기존숙박군,37.54780376,127.00218665,583.0,108.9
0.1251,0.6931471805599453,0.35,75.0,32,2007,25,18305.0,기존숙박군,37.56342608,126.995507,3417.4,32.4
0.1708,1.2017965249033404,0.35,44.4,9,1975,23,14698.0,기존숙박군,37.56143879,126.98227454,2524.6,42.0
0.1265,0.1282106588186425,0.55,0.0,5,2006,28,34332.0,기존숙박군,37.55986298,126.96908924,4387.2,71.7
0.115,0.2145598076228183,1.0,60.0,10,2014,23,5770.0,기존숙박군,37.56253058,127.00194604,3563.4,79.2
0.115,0.3417492937220566,1.0,85.7,14,2014,19,5967.0,기존숙박군,37.56137967,127.00793569,71.4,53.9
