구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
마포구,망원동,인 스테이,0,중위험군,37.55166977,126.9044573,191557.4217,450243.1135,23.87696958,26.693810941933616,-2.8168413619336157,6.7126259910812704
마포구,공덕동,올드타운앳홈,2,고위험군,37.54706042,126.9620163,196643.387,449727.919,41.68118927,37.2533822443762,4.4278070256238,6.7126259910812704
마포구,노고산동,오마이갓 슬라이딩,2,고위험군,37.55198107,126.9396323,194665.6608,450275.0866,45.83201035,42.18879525934007,3.643215090659929,6.7126259910812704
마포구,망원동,수지 케이원스테이,0,중위험군,37.55713406,126.9051883,191622.627,450849.5193,42.68450554,26.900791386523572,15.783714153476431,6.7126259910812704
마포구,성산동,홍대복층 하우스,2,고위험군,37.55678672,126.9152431,192511.0077,450810.12,37.9721697,37.442519547191154,0.5296501528088484,6.7126259910812704
마포구,합정동,K-Wave 홍대 부띠크,1,저위험군,37.54488594,126.9171641,192679.5884,449489.1247,23.16533373,27.15416399972851,-3.98883026972851,6.7126259910812704
마포구,성산동,For fly,2,고위험군,37.565058,126.9056416,191663.5573,451728.943,38.62195457,37.75655884243108,0.8653957275689166,6.7126259910812704
마포구,성산동,홍대 스카이 하우스,1,저위험군,37.55768597,126.9136374,192369.2258,450910.0553,20.85447132,26.24773239755872,-5.393261077558723,6.7126259910812704
마포구,합정동,에이치 스테이,1,저위험군,37.54351819,126.9154426,192527.3107,449337.4564,31.4440909,37.56742153961613,-6.123330639616128,6.7126259910812704
마포구,연남동,KeKeKe,0,중위험군,37.55965822,126.9220764,193115.0536,451128.3001,21.87344993,26.386908903403686,-4.5134589734036865,6.7126259910812704
마포구,서교동,스테이 서교드레곤,0,중위험군,37.55121526,126.9129189,192305.0757,450191.9421,31.12642349,27.25408559366849,3.872337896331512,6.7126259910812704
마포구,서교동,dou dou,0,중위험군,37.54873272,126.9198101,192913.7827,449915.8681,38.81549789,27.307615018993477,11.507882871006526,6.7126259910812704
마포구,서교동,트랭퀼 해븐 홍대,0,중위험군,37.55253691,126.9281922,193654.8117,450337.4889,26.00375615,27.25408559366849,-1.2503294436684875,6.7126259910812704
마포구,노고산동,멜로우 스테이 2호점,0,중위험군,37.55139021,126.9373861,194467.1327,450209.6381,25.38253696,27.51102683522843,-2.128489875228432,6.7126259910812704
마포구,서교동,비나인 게스트하우스,0,중위험군,37.55202404,126.9303693,193847.1518,450280.4217,27.97971066,27.614517057523408,0.36519360247659094,6.7126259910812704
마포구,도화동,스테이 헤리티지 공덕,2,고위험군,37.53850982,126.9516579,195727.5227,448779.3265,39.3105392,37.56742153961613,1.7431176603838736,6.7126259910812704
마포구,노고산동,다시 마포,2,고위험군,37.55201895,126.9414709,194828.1314,450279.1881,43.2750748,37.820794152821065,5.454280647178933,6.7126259910812704
마포구,연남동,비스타스테이,0,중위험군,37.55740282,126.917767,192734.079,450878.3017,23.11500448,26.3369481064337,-3.221943626433699,6.7126259910812704
마포구,상암동,Red rose house,2,고위험군,37.57426445,126.8955872,190776.4039,452751.6915,33.55704714,41.63565786431519,-8.07861072431519,6.7126259910812704
마포구,망원동,JSM Studio,0,중위험군,37.55285681,126.898384,191020.8982,450375.4235,34.80654346,26.490399125698666,8.316144334301335,6.7126259910812704
마포구,대흥동,에이비썸머홀리데이,2,고위험군,37.55270279,126.9456482,195197.2994,450354.8645,37.83020159,38.63801004611588,-0.8078084561158789,6.7126259910812704
마포구,합정동,K&Min's Riverside stay in Hongdae,1,저위험군,37.54407094,126.9172655,192688.4672,449398.6616,21.5822368,27.357575815963465,-5.775339015963464,6.7126259910812704
마포구,망원동,Mangwon Smile house,2,고위험군,37.55334342,126.9085146,191916.1212,450428.512,48.19341923,42.39220707557502,5.801212154424981,6.7126259910812704
마포구,연남동,블루 스테이,0,중위험군,37.5610275,126.9262094,193480.3444,451279.9793,33.25568755,27.054242405788536,6.201445144211462,6.7126259910812704
마포구,동교동,우드사이드,0,중위험군,37.55482251,126.9276038,193603.0193,450591.2031,25.64313331,27.971379893023325,-2.3282465830233257,6.7126259910812704
