구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_도로폭위험도
마포구,동교동,홍대 연트럴파크 게스트하우스,2,고위험군,37.55252296,126.931419,193939.9462,450335.7277,29.11215284,34.036476690883546,-4.924323850883546,5.385803882931744
마포구,연남동,로운하우스,1,저위험군,37.56011826,126.9235666,193246.7618,451179.251,26.73944292,27.113422426074557,-0.37397950607455854,5.385803882931744
마포구,합정동,ATTY Stay 2,1,저위험군,37.54248908,126.9128059,192294.1887,449223.4505,31.39327036,26.036502873770935,5.356767486229064,5.385803882931744
마포구,연남동,맞이,0,중위험군,37.55876481,126.9210109,193020.8261,451029.2207,35.77006471,38.65184620075621,-2.881781490756211,5.385803882931744
마포구,연남동,썬하우스,2,고위험군,37.56233103,126.9229793,193195.0786,451424.8847,39.37215689,38.65184620075621,0.7203106892437887,5.385803882931744
마포구,상암동,제이시 스테이,1,저위험군,37.57593507,126.8945803,190687.6628,452937.2105,21.17144585,25.113428971796402,-3.941983121796401,5.385803882931744
마포구,연남동,blossom Yeonnam 11,1,저위험군,37.5583029,126.918541,192802.5589,450978.1404,20.3436952,25.113428971796402,-4.769733771796403,5.385803882931744
마포구,연남동,정 스테이,2,고위험군,37.5609012,126.9167951,192648.5452,451266.6561,37.4506902,34.036476690883546,3.4142135091164505,5.385803882931744
마포구,망원동,조이 제이 스테이,2,고위험군,37.55703963,126.9053322,191635.332,450839.0258,52.16903,38.65184620075621,13.517183799243789,5.385803882931744
마포구,합정동,haven stay,0,중위험군,37.55036823,126.908171,191885.4355,450098.3311,38.17786029,34.036476690883546,4.141383599116452,5.385803882931744
마포구,도화동,피올라 스테이 마포,1,저위험군,37.53591455,126.9496329,195548.4042,448491.3772,21.32986595,30.19033543265633,-8.860469482656331,5.385803882931744
마포구,연남동,하이네 하우스,2,고위험군,37.55943451,126.917617,192721.0239,451103.8069,48.0387601,38.65184620075621,9.386913899243787,5.385803882931744
마포구,연남동,단아,2,고위험군,37.55855091,126.9205852,192983.1938,451005.512,34.07992778,31.728791935947218,2.3511358440527808,5.385803882931744
마포구,신공덕동,송희,0,중위험군,37.54064205,126.9533211,195874.6391,449015.9037,25.82337604,38.65184620075621,-12.828470160756211,5.385803882931744
마포구,도화동,리틀포레스트,0,중위험군,37.53795091,126.9514522,195709.3091,448717.3037,29.33889992,34.036476690883546,-4.697576770883547,5.385803882931744
마포구,창전동,고요 홍대,0,중위험군,37.54996029,126.9257236,193436.4579,450051.6844,26.39344157,34.036476690883546,-7.643035120883546,5.385803882931744
마포구,성산동,르하임,2,고위험군,37.55820131,126.9057763,191674.6959,450967.9191,41.9732284,34.036476690883546,7.936751709116457,5.385803882931744
마포구,연남동,Steady 게스트하우스,0,중위험군,37.55833333,126.9202425,192952.8962,450981.3888,27.7291516,31.728791935947218,-3.999640335947216,5.385803882931744
마포구,염리동,해피스테이,2,고위험군,37.54665102,126.9472241,195336.1688,449683.1114,36.95798464,31.728791935947218,5.229192704052782,5.385803882931744
마포구,창전동,웰컴하우스,0,중위험군,37.55015445,126.9256913,193433.618,450073.2361,29.01780701,34.036476690883546,-5.018669680883548,5.385803882931744
마포구,서교동,+82 Capsule Hotel,0,중위험군,37.5468202,126.9198665,192918.5875,449703.5972,36.97728226,36.34416144581988,0.6331208141801241,5.385803882931744
마포구,공덕동,서울역 홍대 스테이,2,고위험군,37.54777494,126.9623193,196670.1904,449807.2113,42.13939309,38.65184620075621,3.487546889243788,5.385803882931744
마포구,도화동,스테이도화 301,1,저위험군,37.53687049,126.9481754,195419.6417,448597.5448,33.85886692,28.65187892936544,5.2069879906345555,5.385803882931744
마포구,동교동,킴스 하우스,2,고위험군,37.55467152,126.926876,193538.6982,450574.4948,57.16952384,38.65184620075621,18.517677639243786,5.385803882931744
마포구,도화동,까사데컴,1,저위험군,37.53820576,126.9526977,195819.405,448745.5328,25.67320055,30.19033543265633,-4.517134882656329,5.385803882931744
마포구,연남동,트윈 캣츠 게스트하우스,1,저위험군,37.55672701,126.9198866,192921.2946,450803.1331,35.09799174,25.113428971796402,9.984562768203595,5.385803882931744
마포구,서교동,로터스로터스,0,중위험군,37.55181873,126.9262993,193487.4895,450257.9089,22.83674666,38.65184620075621,-15.815099540756211,5.385803882931744
마포구,도화동,제로워터스테이 마포역점,1,저위험군,37.53550027,126.9481019,195413.0617,448445.4708,14.17026329,27.113422426074557,-12.943159136074557,5.385803882931744
마포구,노고산동,마포자이,0,중위험군,37.55296342,126.9404764,194740.3144,450384.0682,21.00371472,38.65184620075621,-17.64813148075621,5.385803882931744
마포구,신수동,SG Stay,1,저위험군,37.54743382,126.9357116,194318.8708,449770.6262,24.10569603,25.113428971796402,-1.0077329417964016,5.385803882931744
마포구,신수동,페타,1,저위험군,37.54346829,126.9382828,194545.7914,449330.348,30.73302697,27.113422426074557,3.619604543925444,5.385803882931744
마포구,대흥동,루트9,0,중위험군,37.54983429,126.9438568,195038.8118,450036.5884,41.57305109,38.65184620075621,2.921204889243789,5.385803882931744
마포구,망원동,홍홍스테이,1,저위험군,37.55162805,126.9033178,191456.7194,450238.586,18.65359512,26.036502873770935,-7.382907753770937,5.385803882931744
마포구,망원동,케이바이브 망원,2,고위험군,37.55561041,126.8986783,191047.2284,450681.0123,46.43444197,38.65184620075621,7.782595769243791,5.385803882931744
마포구,서교동,드림컴포트,2,고위험군,37.55123658,126.9144736,192442.4554,450194.1822,40.15052946,38.65184620075621,1.4986832592437906,5.385803882931744
마포구,상암동,더 다올,1,저위험군,37.57267982,126.8959707,190810.0832,452575.7783,19.82626129,24.498046370480047,-4.671785080480046,5.385803882931744
마포구,연남동,연남 로망,0,중위험군,37.56062507,126.9244771,193327.2565,451235.4358,48.52961673,38.65184620075621,9.87777052924379,5.385803882931744
마포구,성산동,라이터스 룸,0,중위험군,37.55856936,126.9062053,191712.6399,451008.7304,27.10731695,34.036476690883546,-6.929159740883545,5.385803882931744
마포구,창전동,더 서울,2,고위험군,37.54602595,126.9277579,193615.8846,449614.8799,41.8471248,34.036476690883546,7.810648109116457,5.385803882931744
마포구,연남동,더 코너하우스,1,저위험군,37.56124789,126.9225271,193155.0206,451304.7018,30.74478185,27.113422426074557,3.631359423925442,5.385803882931744
