구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_km,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_km,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_km,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_km,nearest5_fire_year
종로구,낙원동,소락방 주식회사,37.57009871,126.98769431,7,85.7,0.3642775497015497,0.1766,0.08,6,88.0,121.6,100.0,0.030389362471776035,0.06864502329428102,100,0.030389362471776035,2017,55,0.06917468017381088,2022,27,0.0739640710396767,2021,162,0.08248636427239482,2017,264,0.08721063851374666,2022
종로구,연지동,스테이누아 종로,37.56957912,126.99966041,17,94.1,1.4960019827707285,0.4165,0.08,6,77.0,3198.4,42.0,0.009506174909502339,0.022252257230488435,220,0.009506174909502339,2024,42,0.011272828929802957,2019,15716,0.01286657506996567,2021,0,0.03369077062399131,2024,14,0.043924936619179886,2024
종로구,관철동,1996 종로인,37.56632523,126.98626896,2,0.0,1.2840155119994725,0.1408,0.12,9,281.0,13867.6,330.0,0.031422700125477585,0.11099136359263291,61756,0.031422700125477585,2021,9,0.055111346008527254,2022,1,0.15337510560116122,2018,330,0.15602938888426474,2019,7242,0.15901827734373378,2018
종로구,관수동,THE EXTAY LOUNGE,37.56665459,126.98850671,21,90.5,0.8184642999558599,0.1022,0.55,13,914.0,1828.2,440.0,0.013123262050503482,0.01863205278574827,4097,0.013123262050503482,2020,5,0.01485676631693559,2022,300,0.014924714810023021,2018,4299,0.023492902295516486,2021,440,0.026762618455762784,2021
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,37.56594442,126.98577426,2,0.0,1.7394910406822983,0.1465,0.08,11,315.0,15344.4,7242.0,0.06639525140282915,0.10666175306052059,9,0.06639525140282915,2022,61756,0.0896079388248313,2021,7242,0.12122134184424553,2018,1,0.1267658305093185,2018,7714,0.1293184027213785,2018
종로구,견지동,더프리마호텔 종로,37.57038151,126.98267937,0,0.0,0.414123170851279,0.1766,0.08,12,6074.0,121.2,31.0,0.08160596364224185,0.10702782450376594,97,0.08160596364224185,2021,458,0.10224090466345519,2021,31,0.10779457204185908,2023,0,0.11236393467400903,2022,20,0.13113374749726456,2017
종로구,숭인동,서울앤호텔 동대문,37.5705788,127.02004352,10,100.0,1.6992974632002564,0.1108,1.0,16,171.0,932.8,50.0,0.03401523829257556,0.05614665470970361,4374,0.03401523829257556,2018,50,0.05034593044043941,2020,11,0.05942359386741863,2018,193,0.06837040816538116,2020,36,0.06857810278270329,2017
종로구,와룡동,클래식 아파트먼트 익선,37.57389547,126.9897488,76,63.2,1.244643844056864,0.1851,1.0,6,392.0,107.2,73.0,0.013002449173600005,0.03028805033205816,28,0.013002449173600005,2023,73,0.01368109958349057,2018,89,0.023014279281022083,2023,16,0.04055711480606362,2023,330,0.061185308816114524,2017
종로구,효제동,하우스 오손 종묘점,37.56890164,127.00203539,19,73.7,0.9573707576176196,0.4183,0.25,6,180.0,132.6,11.0,0.0923390246555777,0.10577536079886726,399,0.0923390246555777,2017,4,0.1014476445506798,2017,1,0.10762055477247896,2019,248,0.11211140716912181,2021,11,0.11535817284647815,2018
종로구,관수동,HELLO HOSTEL,37.56619998,126.99118829,24,87.5,0.7206876474967924,0.1851,0.12,6,288.0,83.6,100.0,0.018128851965853666,0.042686921602446214,121,0.018128851965853666,2021,1,0.03289394759499747,2020,100,0.035848484167686635,2017,91,0.05739304402460992,2019,105,0.06917028025908335,2024
