구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
종로구,숭인동,케이디 호스텔,2019,0.2984,22,90.9,0.7940648516932153,0.1079,0.7,37.57044997,127.01867554,201649.84017847225,452323.3675945637,2,관광숙박업,숙박시설,11,518.0
종로구,장사동,센추럴,1969,0.1947,25,64.0,2.574111725223541,0.1794,0.85,37.56604937,126.99210865,199302.8189700064,451834.81770574895,1,관광숙박업,"숙박시설(호텔), 위락시설(주점영업)",10,6309.0
종로구,창신동,VATICA HOTEL(바티카 호텔),1969,0.1108,14,71.4,0.0564856021345574,0.1794,0.85,37.56737832,127.01474752,201302.8833528346,451982.3885586112,0,관광숙박업,영업용,9,3292.0
종로구,명륜4가,호스텔 데이,1998,0.1867,5,0.0,2.6288008294480694,0.138,0.18,37.57929506,126.99713608,199747.02464099892,453304.9103100939,2,관광숙박업,숙박시설,8,349.0
종로구,숭인동,루미아호텔,2017,0.3287,2,100.0,0.2694761079552084,0.1108,0.25,37.57109607,127.02145559,201895.419822056,452395.12962544855,2,관광숙박업,관광숙박시설,15,1998.0
종로구,창신동,24guesthouse동대문마켓점,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,200833.1210247645,452040.3239614565,2,관광숙박업,근린생활시설,6,152.0
종로구,관철동,호스텔 클로이,1985,0.2744,14,0.0,0.4418327522790392,0.1565,0.08,37.56597443,126.98782642,198924.49358411224,451826.5406315616,1,관광숙박업,"근린생활시설, 업무시설",6,293.0
종로구,원남동,메이플레이스 호텔 서울 동대문,2014,0.2365,17,70.6,1.2008429113170085,0.115,0.18,37.57336561,126.99794846,199818.7693015716,452646.8078197685,0,관광숙박업,숙박시설(관광호텔),15,4943.0
종로구,권농동,언플러그 안국,1997,0.1658,54,72.2,2.3135541243646194,0.1394,0.85,37.57427525,126.99045283,199156.6241731525,452747.8082019014,1,관광숙박업,숙박시설,6,1353.0
종로구,수송동,신라스테이 광화문,2015,0.4643,2,50.0,0.589606501619105,0.1136,0.08,37.56990125,126.98030475,198260.0635281629,452262.4844535804,1,관광숙박업,"숙박시설(관광호텔 및 부대시설),업무시설,판매시설",23,17595.0
종로구,인의동,호텔 아트리움,2004,0.2167,31,74.2,0.3467462995973981,0.1293,0.18,37.56913495,126.99733645,199764.69172789573,452177.25507965777,1,관광숙박업,호텔,17,9969.0
