구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest2_damage_thousand_krw,nearest2_distance_km,nearest3_damage_thousand_krw,nearest3_distance_km,nearest4_damage_thousand_krw,nearest4_distance_km,nearest5_damage_thousand_krw,nearest5_distance_km
종로구,창신동,호스텔 메가 동대문역,37.56790086,127.00943028,6,0.0,0.2810012094609484,0.1465,0.18,6,152.0,431.6,401.0,0.016403337037044257,0.05645511482532861,1100,0.016403337037044257,480,0.028292826296039478,60,0.07152901403015914,117,0.07422784414417595,401,0.09182255261922423
종로구,봉익동,포레스트 스테이 종로,37.57018563,126.99144197,11,81.8,0.3761947258080512,0.1251,0.08,5,285.0,202.0,34.0,0.04881978906621586,0.06121688986711958,803,0.04881978906621586,172,0.05632772578592161,0,0.06208099264314032,1,0.06824325156748369,34,0.07061269027283644
종로구,관철동,MOMENTO HOSTEL,37.56655742,126.98379997,4,0.0,0.6931471805599453,0.1937,0.12,5,435.0,115.6,33.0,0.023306025054940355,0.055032766964840454,11,0.023306025054940355,102,0.052348581881120765,16,0.06033290052395716,416,0.060333557509482126,33,0.07884276985470184
종로구,숭인동,더온재,37.57228397,127.02039051,9,33.3,0.7105211484959985,0.1436,0.85,5,152.0,190.8,56.0,0.022585070402259967,0.056452940510842174,56,0.022585070402259967,56,0.022585070402259967,469,0.052828786745720564,373,0.07982056314065271,0,0.10444521186331769
중구,남창동,케이팝 서울타워 호스텔,37.55403706,126.97637629,14,42.9,0.6931471805599453,0.115,0.55,5,488.0,470.4,283.0,0.05160376769486184,0.08795640672045968,283,0.05160376769486184,11,0.07020007821478347,1639,0.10242862994799397,399,0.10481086697260515,20,0.11073869077205396
종로구,창신동,247 HOSTEL SEOUL,37.56817447,127.01314811,5,20.0,2.290649742444773,0.1509,0.25,5,261.0,438.0,210.0,0.08570578681166809,0.11727886671885798,205,0.08570578681166809,113,0.11180608734413117,931,0.114190671945256,210,0.114190671945256,731,0.16050111554797866
종로구,관철동,찰나 호스텔,37.56664615,126.98332934,3,0.0,1.0608719606852626,0.1708,0.08,7,104.0,115.6,33.0,0.024302444303179703,0.03136063182356132,11,0.024302444303179703,16,0.026765926043282623,416,0.026766997060285666,33,0.03753002085798007,102,0.04143777085307857
종로구,종로2가,스테이울림,37.56718514,126.98358024,15,33.3,1.2794312155775294,0.1752,0.55,8,104.0,143.0,33.0,0.04500389687500325,0.06387075213926147,416,0.04500389687500325,16,0.04500474068893557,239,0.06609103635555247,11,0.07536614305303216,33,0.08788794372378389
종로구,종로5가,편안정 종로5가점,37.56810507,127.0045472,12,0.0,0.0130720815673527,0.1823,0.08,7,91.0,703.8,427.0,0.14088884079173683,0.19741440614662426,2206,0.14088884079173683,427,0.1962137127358914,454,0.21521821818843967,403,0.2168801029426556,29,0.21787115607439791
종로구,창신동,동대문 스테이가든,37.56946846,127.01349641,6,100.0,1.8129221675840912,0.4747,0.25,2,226.0,360.0,99.0,0.041425522005473066,0.08820114885864942,731,0.041425522005473066,17,0.06980169584547137,22,0.08723682803318392,99,0.10924637849934411,931,0.13329531990977467
종로구,종로5가,고유리(Goyu;re),37.56730221,127.0037223,5,0.0,0.0575238441381866,0.1708,0.08,5,64.0,261.4,375.0,0.17630398371060202,0.195329400633157,375,0.17630398371060202,23,0.17820111354462626,97,0.1788909224935516,385,0.2182559748858824,427,0.22499500853112273
종로구,충신동,온코리아 스테이,37.57265524,127.00336668,8,75.0,0.8026314134016336,0.1436,1.0,6,299.0,18414.2,14193.0,0.09028777132582871,0.1180265854869715,20,0.09028777132582871,16049,0.09533697008368393,61782,0.10538736480824314,14193,0.14357723401545344,27,0.15554358720164826
