좌표인덱스,대상_X,대상_Y,건물_고유번호,주용도명,지상층수,지하층수,총층수,거리(m)
19.0,201192.31984822478,552214.3525444112,1969201079484518944000000000,단독주택,2.0,0.0,2,45.68
20.0,200328.85058794063,551973.845648665,0000200286774516432500000000,,1.0,0.0,1,37.44
20.0,200328.85058794063,551973.845648665,0000200233514516922900000000,,1.0,0.0,1,34.95
20.0,200328.85058794063,551973.845648665,0000200265984517129300000000,,1.0,0.0,1,44.81
20.0,200328.85058794063,551973.845648665,0000200273274517157300000000,,1.0,0.0,1,49.14
20.0,200328.85058794063,551973.845648665,0000200244994517165100000000,,1.0,0.0,1,49.95
21.0,200297.41136398888,552567.9679397504,0000200255354522352700000000,의료시설,6.0,1.0,7,38.91
21.0,200297.41136398888,552567.9679397504,1969200255134522506100000000,제1종근린생활시설,5.0,0.0,5,29.9
21.0,200297.41136398888,552567.9679397504,1973200255654522600300000000,제2종근린생활시설,4.0,1.0,5,27.98
21.0,200297.41136398888,552567.9679397504,1978200276514522629200000000,제1종근린생활시설,3.0,1.0,4,48.7
21.0,200297.41136398888,552567.9679397504,1999200237834522646300000000,교육연구시설,5.0,0.0,5,10.19
21.0,200297.41136398888,552567.9679397504,1983200257084522725700000000,제2종근린생활시설,4.0,1.0,5,30.87
21.0,200297.41136398888,552567.9679397504,0000200255964522855500000000,제1종근린생활시설,3.0,1.0,4,36.22
21.0,200297.41136398888,552567.9679397504,1969200255394522951800000000,제2종근린생활시설,5.0,1.0,6,42.57
22.0,198906.52558246476,552222.2605370608,0000198867994518785500000000,제2종근린생활시설,3.0,0.0,3,49.49
22.0,198906.52558246476,552222.2605370608,1983198815174518967000000000,제2종근린생활시설,2.0,0.0,2,29.79
22.0,198906.52558246476,552222.2605370608,1954198866394518911900000000,제1종근린생활시설,1.0,0.0,1,39.23
22.0,198906.52558246476,552222.2605370608,0000198873394518949000000000,제1종근린생활시설,1.0,0.0,1,42.69
22.0,198906.52558246476,552222.2605370608,0000198883044518985000000000,,1.0,0.0,1,49.73
22.0,198906.52558246476,552222.2605370608,0000198876724519073500000000,제2종근린생활시설,1.0,1.0,2,40.98
22.0,198906.52558246476,552222.2605370608,1956198867364519087700000000,제2종근린생활시설,3.0,0.0,3,31.56
22.0,198906.52558246476,552222.2605370608,1971198872144519182300000000,제2종근린생활시설,6.0,1.0,7,35.25
22.0,198906.52558246476,552222.2605370608,1971198799244519046900000000,자동차관련시설,14.0,1.0,15,39.65
22.0,198906.52558246476,552222.2605370608,1970198815694519109400000000,제2종근린생활시설,7.0,2.0,9,22.09
22.0,198906.52558246476,552222.2605370608,1974198805574519313400000000,제2종근린생활시설,5.0,1.0,6,34.43
22.0,198906.52558246476,552222.2605370608,1970198818284519328300000000,교육연구시설,5.0,2.0,7,24.4
22.0,198906.52558246476,552222.2605370608,1969198818964519435200000000,제1종근린생활시설,6.0,1.0,7,31.96
