구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
중구,(회현동,88 게스트하우스,2,고위험군,37.55741988,126.9832419,198519.2921,450877.1489,38.17329224,45.446963521525916,-7.273671281525914,3.8845674748567807
중구,(남산동,숨2nd,2,고위험군,37.55543636,126.9859744,198760.694,450656.9622,40.49656198,40.673289768763055,-0.17672778876305273,3.8845674748567807
중구,(남산동,제이나인 게스트하우스,2,고위험군,37.55556946,126.9842,198603.9158,450671.7596,46.78088892,40.48124542238754,6.299643497612465,3.8845674748567807
중구,신당동,마르코의 다락방,2,고위험군,37.5489861,127.0082689,200730.7041,449941.0003,37.09025641,40.09166974831149,-3.0014133383114867,3.8845674748567807
중구,(회현동,라온,2,고위험군,37.5550507,126.9831565,198511.7028,450614.1994,59.61864305,54.580043937013016,5.0385991129869865,3.8845674748567807
중구,(남산동,엔드 서울,2,고위험군,37.55488937,126.9843849,198620.2357,450596.275,47.31192821,45.1808449272627,2.1310832827373005,3.8845674748567807
중구,필동,명동 위 스테이,2,고위험군,37.5557537,126.9956652,199616.9777,450692.0995,40.51388138,41.20552695728949,-0.691645577289492,3.8845674748567807
중구,(만리동,서울 삼월,2,고위험군,37.55401687,126.9670078,197084.7555,450499.8349,59.5545475,52.78305755307068,6.7714899469293215,3.8845674748567807
중구,황학동,쉼 스테이,2,고위험군,37.56474665,127.0201533,201780.5246,451690.3927,39.015828,41.348188471739874,-2.332360471739875,3.8845674748567807
중구,신당동,일상고요,2,고위험군,37.56070631,127.010882,200961.4617,451241.8273,35.86591188,39.51553670918494,-3.649624829184944,3.8845674748567807
중구,신당동,스테이 신당,2,고위험군,37.55270014,127.0057008,200503.7439,450353.1973,41.09614645,40.527884763650164,0.5682616863498353,3.8845674748567807
중구,신당동,원웨이하우스,2,고위험군,37.56091005,127.0096196,200849.9295,451264.4279,59.11993,53.153428792509175,5.966501207490822,3.8845674748567807
중구,(광희동,스테이오얏,2,고위험군,37.56135165,127.0075562,200667.6142,451313.4236,47.07123659,39.89962540193597,7.171611188064027,3.8845674748567807
중구,(광희동,메종 드 린,2,고위험군,37.56077622,127.0084615,200747.605,451249.5645,41.38415878,39.75422039682309,1.6299383831769134,3.8845674748567807
중구,중림동,서울로 스테이,2,고위험군,37.55472963,126.9667115,197058.6011,450578.952,41.07758266,40.09166974831149,0.9859129116885086,3.8845674748567807
중구,(남산동,그린네이비 게스트하우스,2,고위험군,37.55597835,126.9858585,198750.4613,450717.1182,38.43651312,39.89962540193597,-1.4631122819359703,3.8845674748567807
중구,신당동,서울 나침반,2,고위험군,37.56041504,127.0175305,201548.8951,451209.5886,34.91884579,40.04503040704887,-5.126184617048871,3.8845674748567807
중구,남창동,소시 스테이,2,고위험군,37.55367274,126.9766149,197933.6431,450461.386,33.13097855,41.348188471739874,-8.217209921739872,3.8845674748567807
중구,(광희동,하나 스테이,2,고위험군,37.56150091,127.0088191,200779.191,451329.9994,35.17793373,39.99564757512373,-4.817713845123734,3.8845674748567807
중구,신당동,소당 스테이,2,고위험군,37.56159957,127.0121655,201074.8572,451340.9825,36.09486543,40.04503040704887,-3.950164977048871,3.8845674748567807
중구,(광희동,호야,2,고위험군,37.56123206,127.0089903,200794.3234,451300.1617,45.14853056,47.5210424623815,-2.372511902381504,3.8845674748567807
중구,(필동,나미스 하우스,2,고위험군,37.55760098,126.9967439,199712.3019,450897.1218,54.444493,47.348202550643535,7.0962904493564665,3.8845674748567807
중구,(광희동,스테이 이비비,2,고위험군,37.56096498,127.0079841,200705.4188,451270.5109,42.19562817,39.99564757512373,2.1999805948762656,3.8845674748567807
중구,(남산동,명동힐,2,고위험군,37.55618754,126.9858278,198747.7601,450740.3362,41.50493717,41.10676129343923,0.3981758765607708,3.8845674748567807
중구,(회현동,남산 네스트,2,고위험군,37.554501,126.9835012,198542.1455,450553.1839,60.04891782,53.02997171269634,7.0189461073036625,3.8845674748567807
중구,필동,충무맨션,2,고위험군,37.55679475,126.9950393,199561.6804,450807.6464,31.73977033,39.89962540193597,-8.159855071935972,3.8845674748567807
중구,(남산동,하우스 사라,2,고위험군,37.55471617,126.9847442,198651.9832,450577.0466,38.32964899,37.649963058679916,0.6796859313200869,3.8845674748567807
중구,(광희동,지안,2,고위험군,37.56101811,127.0089864,200793.9749,451276.4157,39.55814524,41.25216629855212,-1.6940210585521172,3.8845674748567807
중구,신당동,단이랑체리의집,2,고위험군,37.55998923,127.0134705,201190.1805,451162.2695,39.75158107,41.25216629855212,-1.5005852285521186,3.8845674748567807
중구,신당동,스테이 109,2,고위험군,37.5603757,127.0188196,201662.7907,451205.2443,32.32799509,40.141052580236625,-7.813057490236623,3.8845674748567807
중구,(회현동,제이나인 롯지,2,고위험군,37.55368801,126.9812494,198343.1612,450462.989,51.36199141,54.88731489121385,-3.525323481213846,3.8845674748567807
중구,신당동,유에 하우스,2,고위험군,37.55940725,127.0129652,201145.5411,451097.6704,46.08807564,39.99564757512373,6.092428064876266,3.8845674748567807
중구,(만리동,더 파인 하우스,2,고위험군,37.55237109,126.9660433,196999.462,450317.2033,41.35634153,39.803603228748216,1.552738301251786,3.8845674748567807
중구,(남산동,봉스 비앤비(Bong's BNB),2,고위험군,37.55451805,126.9843521,198617.3315,450555.0634,54.46960679,52.40994282296967,2.059663967030332,3.8845674748567807
중구,(남산동,Juny's Cozy Home,2,고위험군,37.55581166,126.9859932,198762.3632,450698.6158,38.30371759,39.89962540193597,-1.595907811935973,3.8845674748567807
